incident_id,locality,latitude,longitude,crime_type,severity,time_of_day,day_type,lighting,crowd_level,police_distance_m,report_source,risk_score
INC00023,Nayapalli,20.296505,85.805017,Harassment,3,Night,Weekday,Good,Low,264,Police,56
INC00024,Rasulgarh,20.29295,85.871418,Stalking,4,Evening,Weekend,Good,High,1446,Community,71
INC00025,Khandagiri,20.258797,85.780232,Harassment,3,Evening,Weekday,Poor,High,747,Police,69
INC00026,Master Canteen,20.269378,85.8386,Assault on Woman,5,Evening,Weekend,Moderate,High,814,Police,91
INC00027,Baramunda,20.272002,85.805221,Harassment,3,Evening,Weekend,Poor,Medium,116,Community,76
INC00028,Chandrasekharpur,20.329806,85.818693,Kidnapping Attempt,5,Afternoon,Weekday,Moderate,High,1338,Community,85
INC00029,Khandagiri,20.256007,85.784249,Assault on Woman,5,Morning,Weekend,Moderate,Low,190,Community,82
INC00030,Acharya Vihar,20.30031,85.834566,Snatching,3,Morning,Weekday,Good,Low,405,Community,45
INC00031,Kalpana Square,20.25885,85.845394,Harassment,3,Night,Weekday,Poor,Low,530,Community,85
INC00032,Old Town,20.240305,85.833438,Sexual Harassment,5,Evening,Weekend,Good,Low,432,Police,80
INC00033,Patia,20.357647,85.821194,Harassment,3,Evening,Weekend,Poor,Low,608,Community,69
INC00034,KIIT Square,20.351335,85.8199,Suspicious Activity,2,Evening,Weekday,Moderate,Low,566,Community,53
INC00035,Lingaraj,20.245186,85.836801,Stalking,4,Afternoon,Weekday,Moderate,Medium,1198,Community,65
INC00036,Khandagiri,20.260275,85.780393,Harassment,3,Afternoon,Weekday,Moderate,Low,742,Community,58
INC00037,Lingaraj,20.24114,85.831266,Suspicious Activity,2,Evening,Weekday,Moderate,Low,1473,Community,49
INC00038,Nayapalli,20.29698,85.802748,Assault on Woman,5,Night,Weekday,Moderate,Medium,768,Community,99
INC00039,Saheed Nagar,20.299442,85.842264,Stalking,4,Night,Weekend,Moderate,Medium,1222,Police,84
INC00040,Saheed Nagar,20.29728,85.842128,Stalking,4,Evening,Weekday,Moderate,High,1069,Police,75
INC00041,Baramunda,20.270798,85.803011,Assault on Woman,5,Night,Weekday,Poor,Medium,560,Police,100
INC00042,KIIT Square,20.352851,85.820098,Harassment,3,Morning,Weekend,Moderate,Medium,498,Police,56
INC00043,Lingaraj,20.243936,85.831033,Harassment,3,Night,Weekend,Poor,High,970,Community,83
INC00044,KIIT Square,20.355505,85.815728,Assault on Woman,5,Afternoon,Weekend,Moderate,Medium,1244,Community,87
INC00045,Pokhariput,20.252955,85.806169,Stalking,4,Evening,Weekend,Poor,Low,667,Police,91
INC00046,Rasulgarh,20.287765,85.869714,Harassment,3,Afternoon,Weekday,Moderate,Medium,383,Community,56
INC00047,Saheed Nagar,20.296246,85.841456,Harassment,3,Evening,Weekend,Good,Medium,1296,Police,48
INC00048,CRP Square,20.314111,85.823521,Harassment,3,Night,Weekend,Poor,Medium,1218,Police,78
INC00049,Rasulgarh,20.290214,85.870333,Harassment,3,Night,Weekday,Poor,Low,1057,Police,84
INC00050,Lingaraj,20.243978,85.831504,Assault on Woman,5,Evening,Weekend,Poor,High,632,Community,100
INC00051,Nayapalli,20.298278,85.80367,Stalking,4,Night,Weekday,Moderate,Low,1063,Community,88
INC00052,Old Town,20.235412,85.836744,Harassment,3,Morning,Weekday,Good,High,141,Community,43
INC00053,CRP Square,20.315384,85.820308,Snatching,3,Night,Weekday,Poor,High,1343,Police,76
INC00054,Baramunda,20.267154,85.802872,Harassment,3,Night,Weekday,Poor,Medium,506,Community,85
INC00055,Chandrasekharpur,20.330809,85.822106,Snatching,3,Night,Weekend,Poor,Medium,184,Community,81
INC00056,Infocity,20.343047,85.818097,Assault on Woman,5,Night,Weekday,Good,Low,1401,Police,92
INC00057,Kalpana Square,20.26013,85.843903,Harassment,3,Evening,Weekend,Poor,Low,1052,Community,77
INC00058,Nayapalli,20.297984,85.80252,Suspicious Activity,2,Night,Weekday,Good,Medium,1349,Community,45
INC00059,CRP Square,20.313091,85.820273,Suspicious Activity,2,Night,Weekday,Moderate,Low,665,Community,58
INC00060,Infocity,20.343439,85.816331,Harassment,3,Afternoon,Weekend,Moderate,Low,1017,Police,51
INC00061,Rasulgarh,20.28876,85.871984,Stalking,4,Evening,Weekend,Moderate,Medium,1227,Community,80
INC00062,Baramunda,20.267724,85.802156,Harassment,3,Afternoon,Weekend,Moderate,Low,479,Community,57
INC00063,Mancheswar,20.322148,85.862698,Eve-teasing,2,Afternoon,Weekday,Good,High,467,Community,33
INC00064,Khandagiri,20.254827,85.780553,Harassment,3,Night,Weekend,Moderate,Low,310,Police,74
INC00065,CRP Square,20.314044,85.824793,Stalking,4,Afternoon,Weekday,Poor,High,233,Community,76
INC00066,Jaydev Vihar,20.301377,85.818823,Harassment,3,Night,Weekday,Good,Low,1341,Community,64
INC00067,Dumduma,20.266451,85.792784,Stalking,4,Evening,Weekday,Moderate,Medium,223,Community,74
INC00068,Saheed Nagar,20.294287,85.839639,Harassment,3,Evening,Weekday,Good,Medium,1316,Community,48
INC00069,Baramunda,20.271218,85.803724,Snatching,3,Night,Weekend,Poor,Low,1380,Community,78
INC00070,Chandrasekharpur,20.332886,85.82345,Assault on Woman,5,Night,Weekend,Good,High,729,Community,94
INC00071,Master Canteen,20.270132,85.842198,Harassment,3,Night,Weekend,Moderate,Medium,264,Community,71
INC00072,Vani Vihar,20.294548,85.844771,Harassment,3,Night,Weekday,Moderate,Low,1476,Police,74
INC00073,Acharya Vihar,20.300909,85.837496,Stalking,4,Afternoon,Weekend,Moderate,Medium,1107,Police,72
INC00074,Kalpana Square,20.261021,85.845146,Stalking,4,Evening,Weekday,Poor,High,920,Police,91
INC00075,Master Canteen,20.267514,85.838696,Harassment,3,Night,Weekend,Poor,Low,102,Community,83
INC00076,Kalpana Square,20.260111,85.843736,Harassment,3,Evening,Weekend,Moderate,High,646,Community,62
INC00077,CRP Square,20.317839,85.822653,Harassment,3,Afternoon,Weekday,Good,Medium,1231,Community,43
INC00078,Master Canteen,20.269886,85.838924,Kidnapping Attempt,5,Night,Weekday,Good,Low,950,Police,92
INC00079,Master Canteen,20.268302,85.843531,Assault on Woman,5,Evening,Weekend,Poor,Low,665,Police,100
INC00080,Dumduma,20.261015,85.795356,Harassment,3,Night,Weekend,Moderate,Medium,404,Community,72
INC00081,Nayapalli,20.296261,85.804732,Assault on Woman,5,Evening,Weekday,Good,Medium,1271,Community,84
INC00082,Nayapalli,20.297231,85.806868,Snatching,3,Evening,Weekday,Poor,Low,411,Community,68
INC00083,Dumduma,20.262992,85.791602,Eve-teasing,2,Night,Weekday,Good,Low,131,Police,46
INC00084,Infocity,20.346815,85.815031,Stalking,4,Night,Weekend,Moderate,Low,1481,Police,86
INC00085,CRP Square,20.312215,85.819411,Suspicious Activity,2,Evening,Weekday,Poor,Low,285,Community,54
INC00086,Master Canteen,20.267797,85.838174,Harassment,3,Evening,Weekend,Good,Medium,982,Community,56
INC00087,Mancheswar,20.32008,85.86205,Snatching,3,Evening,Weekday,Moderate,Medium,1119,Police,60
INC00088,Master Canteen,20.268757,85.842001,Assault on Woman,5,Night,Weekend,Moderate,High,1219,Community,100
INC00089,Mancheswar,20.324772,85.865142,Harassment,3,Evening,Weekend,Moderate,Low,1089,Community,64
INC00090,Mancheswar,20.323196,85.861132,Harassment,3,Night,Weekend,Moderate,High,200,Police,72
INC00091,Rasulgarh,20.289414,85.87182,Assault on Woman,5,Evening,Weekday,Poor,Low,1450,Community,100
INC00092,KIIT Square,20.352645,85.818477,Stalking,4,Night,Weekend,Good,High,950,Community,72
INC00093,Dumduma,20.262635,85.791987,Assault on Woman,5,Night,Weekday,Poor,Low,704,Police,100
INC00094,Master Canteen,20.266845,85.843799,Eve-teasing,2,Night,Weekday,Poor,Low,1241,Community,66
INC00095,Khandagiri,20.257229,85.782837,Assault on Woman,5,Night,Weekend,Moderate,Low,860,Community,98
INC00096,Patia,20.357759,85.818468,Assault on Woman,5,Evening,Weekend,Moderate,Medium,1050,Police,92
INC00097,Chandrasekharpur,20.334678,85.819826,Harassment,3,Evening,Weekend,Good,Low,377,Community,53
INC00098,Mancheswar,20.319927,85.863489,Snatching,3,Morning,Weekday,Moderate,Medium,672,Community,55
INC00099,Master Canteen,20.267417,85.840176,Stalking,4,Night,Weekend,Moderate,Low,1420,Community,86
INC00100,Saheed Nagar,20.299494,85.843145,Eve-teasing,2,Morning,Weekday,Good,Medium,143,Community,30
INC00101,Jaydev Vihar,20.299231,85.821979,Sexual Harassment,5,Evening,Weekday,Moderate,Low,577,Community,90
INC00102,Khandagiri,20.255368,85.77958,Suspicious Activity,2,Afternoon,Weekday,Good,Medium,152,Community,30
INC00103,Mancheswar,20.320045,85.861314,Stalking,4,Night,Weekday,Moderate,Low,1075,Community,85
INC00104,Master Canteen,20.271672,85.83826,Assault on Woman,5,Night,Weekday,Poor,Medium,1038,Community,100
INC00105,CRP Square,20.314558,85.819648,Suspicious Activity,2,Night,Weekday,Moderate,Low,759,Community,51
INC00106,Khandagiri,20.258012,85.783073,Assault on Woman,5,Evening,Weekday,Moderate,High,1135,Community,89
INC00107,Pokhariput,20.25329,85.803709,Snatching,3,Afternoon,Weekend,Moderate,Medium,951,Police,55
INC00108,Nayapalli,20.295246,85.802916,Snatching,3,Night,Weekday,Good,Low,290,Community,60
INC00109,Pokhariput,20.25774,85.80437,Harassment,3,Night,Weekend,Moderate,Low,966,Police,65
INC00110,Vani Vihar,20.294622,85.842044,Stalking,4,Afternoon,Weekday,Moderate,Low,817,Police,70
INC00111,Khandagiri,20.259343,85.783871,Assault on Woman,5,Night,Weekend,Poor,Medium,1416,Community,100
INC00112,Patia,20.356316,85.818354,Harassment,3,Evening,Weekday,Good,Low,1259,Community,49
INC00113,Patia,20.355283,85.818757,Harassment,3,Evening,Weekday,Good,Medium,764,Police,57
INC00114,KIIT Square,20.354527,85.815299,Harassment,3,Morning,Weekday,Moderate,Medium,1343,Community,54
INC00115,Dumduma,20.263579,85.792699,Harassment,3,Night,Weekday,Moderate,Medium,193,Community,74
INC00116,Patia,20.357772,85.821104,Harassment,3,Night,Weekday,Good,High,1118,Police,57
INC00117,Lingaraj,20.241381,85.834352,Assault on Woman,5,Night,Weekday,Moderate,Medium,186,Community,100
INC00118,Nayapalli,20.29644,85.806257,Assault on Woman,5,Evening,Weekend,Good,High,765,Community,87
INC00119,Old Town,20.240067,85.83246,Harassment,3,Evening,Weekend,Moderate,Medium,735,Police,61
INC00120,Acharya Vihar,20.300799,85.835184,Harassment,3,Afternoon,Weekday,Poor,Medium,1421,Police,63
INC00121,Jaydev Vihar,20.299041,85.817917,Harassment,3,Night,Weekend,Good,Low,1386,Community,64
INC00122,Mancheswar,20.324919,85.862939,Assault on Woman,5,Night,Weekend,Moderate,Medium,1060,Community,99
INC00123,Mancheswar,20.322044,85.862862,Harassment,3,Evening,Weekend,Good,Low,257,Community,49
INC00124,Master Canteen,20.271725,85.842434,Assault on Woman,5,Morning,Weekday,Poor,Medium,485,Community,97
INC00125,KIIT Square,20.354866,85.820024,Stalking,4,Night,Weekend,Good,Medium,180,Community,77
INC00126,Dumduma,20.261952,85.793237,Assault on Woman,5,Afternoon,Weekend,Moderate,Medium,1324,Community,90
INC00127,Infocity,20.344348,85.815319,Stalking,4,Afternoon,Weekday,Poor,Low,1334,Police,80
INC00128,Mancheswar,20.3245,85.862861,Snatching,3,Night,Weekend,Poor,High,273,Community,81
INC00129,Jaydev Vihar,20.302974,85.821433,Snatching,3,Night,Weekend,Moderate,Medium,967,Community,65
INC00130,Baramunda,20.268285,85.806686,Harassment,3,Evening,Weekday,Good,High,258,Community,49
INC00131,Nayapalli,20.296708,85.805583,Suspicious Activity,2,Afternoon,Weekend,Good,Medium,1379,Police,27
INC00132,KIIT Square,20.354058,85.816425,Stalking,4,Evening,Weekend,Good,Low,1019,Community,66
INC00133,CRP Square,20.313164,85.82307,Kidnapping Attempt,5,Evening,Weekday,Moderate,Low,882,Community,94
INC00134,Saheed Nagar,20.29463,85.8397,Sexual Harassment,5,Evening,Weekday,Poor,Medium,310,Police,100
INC00135,Baramunda,20.267962,85.803696,Harassment,3,Evening,Weekday,Poor,High,554,Police,73
INC00136,Kalpana Square,20.260012,85.841415,Harassment,3,Night,Weekend,Moderate,High,302,Police,75
INC00137,Jaydev Vihar,20.299721,85.821979,Harassment,3,Night,Weekday,Good,Low,1018,Community,56
INC00138,Khandagiri,20.255397,85.784441,Harassment,3,Evening,Weekday,Moderate,Low,586,Community,58
INC00139,Kalpana Square,20.260737,85.840377,Assault on Woman,5,Night,Weekday,Moderate,Medium,1394,Community,98
INC00140,Baramunda,20.270689,85.802443,Stalking,4,Evening,Weekday,Poor,High,838,Community,91
INC00141,Lingaraj,20.240261,85.833321,Suspicious Activity,2,Evening,Weekday,Poor,Medium,238,Community,63
INC00142,Mancheswar,20.320995,85.861266,Snatching,3,Evening,Weekday,Poor,High,1051,Police,75
INC00143,Jaydev Vihar,20.302657,85.819746,Harassment,3,Afternoon,Weekend,Good,High,185,Community,44
INC00144,Pokhariput,20.25222,85.804881,Stalking,4,Afternoon,Weekend,Poor,High,1442,Community,76
INC00145,Kalpana Square,20.26146,85.845368,Suspicious Activity,2,Evening,Weekend,Poor,Medium,1118,Community,61
INC00146,Infocity,20.341474,85.816615,Snatching,3,Night,Weekend,Moderate,Medium,263,Community,69
INC00147,Master Canteen,20.268557,85.842139,Assault on Woman,5,Evening,Weekend,Good,Low,822,Community,84
INC00148,KIIT Square,20.353825,85.81718,Harassment,3,Night,Weekend,Poor,Low,392,Police,85
INC00149,KIIT Square,20.351416,85.818871,Harassment,3,Evening,Weekend,Poor,High,414,Community,73
INC00150,Master Canteen,20.269444,85.841177,Sexual Harassment,5,Evening,Weekend,Moderate,High,332,Community,90
INC00151,Dumduma,20.26437,85.792571,Stalking,4,Afternoon,Weekday,Moderate,Low,684,Community,72
INC00152,Chandrasekharpur,20.329444,85.819036,Harassment,3,Night,Weekend,Poor,Low,754,Community,76
INC00153,Baramunda,20.271271,85.806564,Suspicious Activity,2,Evening,Weekday,Poor,Medium,348,Police,55
INC00154,CRP Square,20.315324,85.821213,Harassment,3,Night,Weekend,Moderate,Medium,276,Community,71
INC00155,Dumduma,20.263457,85.794449,Stalking,4,Afternoon,Weekday,Moderate,High,1054,Community,70
INC00156,Pokhariput,20.253092,85.806798,Assault on Woman,5,Evening,Weekday,Poor,High,354,Community,100
INC00157,Acharya Vihar,20.301256,85.834076,Stalking,4,Night,Weekend,Poor,Low,613,Community,98
INC00158,Jaydev Vihar,20.301687,85.817561,Assault on Woman,5,Evening,Weekend,Moderate,Medium,450,Community,97
INC00159,Mancheswar,20.324183,85.861487,Harassment,3,Night,Weekday,Poor,High,531,Police,81
INC00160,CRP Square,20.315273,85.822851,Suspicious Activity,2,Evening,Weekday,Good,Low,931,Community,34
INC00161,Acharya Vihar,20.299906,85.833224,Stalking,4,Evening,Weekend,Moderate,Low,807,Police,75
INC00162,Dumduma,20.262915,85.793799,Assault on Woman,5,Afternoon,Weekend,Good,High,694,Police,79
INC00163,Rasulgarh,20.292714,85.872881,Eve-teasing,2,Night,Weekend,Poor,High,426,Community,68
INC00164,CRP Square,20.314984,85.81954,Suspicious Activity,2,Evening,Weekend,Moderate,High,1294,Community,43
INC00165,CRP Square,20.317057,85.823035,Assault on Woman,5,Afternoon,Weekend,Good,High,374,Police,75
INC00166,Old Town,20.235307,85.834371,Harassment,3,Evening,Weekday,Good,Medium,1022,Police,52
INC00167,Jaydev Vihar,20.300363,85.821769,Eve-teasing,2,Evening,Weekday,Poor,Low,507,Community,59
INC00168,KIIT Square,20.354282,85.819824,Harassment,3,Evening,Weekend,Good,Low,386,Community,57
INC00169,Acharya Vihar,20.300699,85.837056,Stalking,4,Evening,Weekend,Moderate,Medium,1103,Police,77
INC00170,Patia,20.356143,85.822379,Stalking,4,Evening,Weekend,Poor,Low,1388,Community,90
INC00171,Mancheswar,20.323328,85.864501,Assault on Woman,5,Afternoon,Weekday,Moderate,Medium,878,Community,90
INC00172,KIIT Square,20.354203,85.816145,Assault on Woman,5,Evening,Weekend,Moderate,Medium,517,Community,97
INC00173,KIIT Square,20.353112,85.818365,Snatching,3,Night,Weekend,Moderate,Medium,454,Community,73
INC00174,Pokhariput,20.256632,85.805326,Stalking,4,Evening,Weekend,Poor,Medium,493,Police,87
INC00175,Rasulgarh,20.293194,85.872627,Kidnapping Attempt,5,Night,Weekend,Poor,Medium,1082,Community,100
INC00176,Chandrasekharpur,20.332259,85.823375,Assault on Woman,5,Evening,Weekday,Moderate,Low,399,Community,92
INC00177,Old Town,20.238936,85.835484,Kidnapping Attempt,5,Afternoon,Weekday,Poor,High,1251,Community,92
INC00178,Vani Vihar,20.295436,85.839305,Snatching,3,Night,Weekday,Good,High,305,Community,62
INC00179,Jaydev Vihar,20.301302,85.822575,Harassment,3,Evening,Weekend,Poor,Low,1077,Community,72
INC00180,Baramunda,20.272448,85.801537,Assault on Woman,5,Evening,Weekend,Moderate,Low,176,Police,90
INC00181,Acharya Vihar,20.297218,85.837017,Kidnapping Attempt,5,Night,Weekend,Good,Low,692,Police,85
INC00182,Mancheswar,20.324571,85.86301,Assault on Woman,5,Evening,Weekend,Moderate,Medium,374,Police,95
INC00183,Saheed Nagar,20.295784,85.842587,Sexual Harassment,5,Evening,Weekday,Poor,High,790,Police,100
INC00184,Acharya Vihar,20.300832,85.834433,Assault on Woman,5,Evening,Weekend,Moderate,Medium,295,Community,90
INC00185,Nayapalli,20.293041,85.804301,Kidnapping Attempt,5,Evening,Weekend,Good,Medium,1292,Police,78
INC00186,Old Town,20.235373,85.831709,Snatching,3,Evening,Weekend,Moderate,Medium,736,Community,68
INC00187,Old Town,20.236315,85.831801,Assault on Woman,5,Afternoon,Weekday,Poor,Medium,951,Police,97
INC00188,Rasulgarh,20.290875,85.872724,Snatching,3,Evening,Weekday,Moderate,Medium,1255,Community,66
INC00189,Mancheswar,20.319987,85.866127,Assault on Woman,5,Evening,Weekend,Poor,Low,1101,Community,100
INC00190,KIIT Square,20.353079,85.817741,Stalking,4,Morning,Weekday,Moderate,Low,144,Community,65
INC00191,Mancheswar,20.321542,85.865202,Harassment,3,Evening,Weekday,Good,Low,1066,Community,54
INC00192,Jaydev Vihar,20.30387,85.820875,Sexual Harassment,5,Evening,Weekday,Poor,Medium,873,Community,100
INC00193,Old Town,20.240957,85.833358,Harassment,3,Afternoon,Weekend,Poor,Low,146,Police,67
INC00194,Pokhariput,20.253378,85.803764,Stalking,4,Afternoon,Weekend,Good,Low,331,Community,65
INC00195,Vani Vihar,20.299303,85.839094,Sexual Harassment,5,Afternoon,Weekday,Good,High,1324,Community,70
INC00196,KIIT Square,20.351406,85.816304,Stalking,4,Night,Weekend,Good,Medium,692,Community,79
INC00197,Mancheswar,20.323035,85.862924,Assault on Woman,5,Evening,Weekday,Good,Medium,552,Community,82
INC00198,Pokhariput,20.257278,85.806469,Kidnapping Attempt,5,Evening,Weekend,Moderate,Medium,805,Police,98
INC00199,Dumduma,20.263498,85.791895,Stalking,4,Evening,Weekend,Poor,Medium,561,Community,85
INC00200,KIIT Square,20.355807,85.818344,Assault on Woman,5,Afternoon,Weekend,Good,High,1424,Community,77
INC00201,Infocity,20.345976,85.813309,Assault on Woman,5,Evening,Weekday,Moderate,High,249,Community,97
INC00202,CRP Square,20.317442,85.820819,Harassment,3,Night,Weekday,Good,High,340,Police,62
INC00203,Vani Vihar,20.29638,85.840436,Snatching,3,Evening,Weekend,Good,Medium,1428,Community,52
INC00204,Dumduma,20.263796,85.795817,Suspicious Activity,2,Night,Weekday,Poor,Medium,516,Community,66
INC00205,Mancheswar,20.323448,85.861097,Suspicious Activity,2,Evening,Weekday,Moderate,Low,704,Community,48
INC00206,Lingaraj,20.241474,85.834304,Assault on Woman,5,Night,Weekend,Moderate,Low,1100,Police,100
INC00207,Master Canteen,20.27077,85.839016,Harassment,3,Night,Weekday,Moderate,Low,1210,Police,65
INC00208,Infocity,20.345009,85.817586,Kidnapping Attempt,5,Evening,Weekend,Poor,High,409,Community,100
INC00209,Old Town,20.238826,85.836603,Harassment,3,Night,Weekday,Poor,High,1189,Community,75
INC00210,Dumduma,20.264214,85.79272,Snatching,3,Evening,Weekday,Poor,Medium,467,Community,69
INC00211,Rasulgarh,20.290459,85.872891,Harassment,3,Afternoon,Weekday,Moderate,Medium,931,Community,53
INC00212,Baramunda,20.272087,85.804922,Snatching,3,Night,Weekday,Poor,High,876,Community,82
INC00213,Patia,20.352596,85.821572,Snatching,3,Evening,Weekday,Moderate,Low,295,Police,58
INC00214,Saheed Nagar,20.297954,85.841601,Kidnapping Attempt,5,Afternoon,Weekday,Poor,Medium,674,Police,99
INC00215,Acharya Vihar,20.298887,85.837769,Kidnapping Attempt,5,Evening,Weekday,Poor,Low,915,Police,100
INC00216,Mancheswar,20.324008,85.863335,Harassment,3,Night,Weekend,Moderate,Low,386,Police,66
INC00217,KIIT Square,20.351393,85.815456,Harassment,3,Evening,Weekend,Moderate,Medium,768,Community,62
INC00218,CRP Square,20.315318,85.821253,Harassment,3,Afternoon,Weekday,Moderate,Medium,1366,Community,53
INC00219,Infocity,20.34328,85.817703,Harassment,3,Afternoon,Weekend,Moderate,Medium,287,Community,54
INC00220,Old Town,20.235613,85.831524,Sexual Harassment,5,Evening,Weekday,Moderate,Medium,311,Community,93
INC00221,Vani Vihar,20.295947,85.841311,Assault on Woman,5,Afternoon,Weekday,Moderate,High,1245,Police,83
INC00222,Lingaraj,20.241614,85.83261,Harassment,3,Afternoon,Weekend,Good,High,713,Community,41
INC00223,Khandagiri,20.258825,85.781775,Kidnapping Attempt,5,Evening,Weekend,Moderate,High,113,Police,93
INC00224,Nayapalli,20.295584,85.806941,Stalking,4,Night,Weekend,Moderate,Medium,1335,Police,83
INC00225,Nayapalli,20.295389,85.803915,Harassment,3,Night,Weekend,Moderate,Low,596,Community,69
INC00226,Old Town,20.238383,85.834553,Harassment,3,Evening,Weekend,Poor,Medium,1045,Police,71
INC00227,Baramunda,20.267415,85.806087,Suspicious Activity,2,Night,Weekday,Poor,High,720,Community,70
INC00228,Kalpana Square,20.257444,85.845944,Sexual Harassment,5,Evening,Weekday,Moderate,Medium,956,Community,93
INC00229,Chandrasekharpur,20.332946,85.82013,Sexual Harassment,5,Evening,Weekend,Good,Low,1487,Community,83
INC00230,Chandrasekharpur,20.330552,85.821064,Harassment,3,Evening,Weekday,Moderate,Medium,1012,Community,65
INC00231,Old Town,20.237897,85.832773,Eve-teasing,2,Night,Weekend,Good,Low,390,Community,45
INC00232,Saheed Nagar,20.29589,85.838786,Assault on Woman,5,Night,Weekday,Moderate,High,191,Police,96
INC00233,Nayapalli,20.297063,85.802986,Assault on Woman,5,Night,Weekend,Good,High,427,Community,91
INC00234,Rasulgarh,20.291079,85.869118,Sexual Harassment,5,Night,Weekend,Moderate,Low,504,Community,100
INC00235,Patia,20.353335,85.821014,Snatching,3,Night,Weekday,Good,High,1199,Community,60
INC00236,Master Canteen,20.270024,85.840937,Harassment,3,Night,Weekend,Moderate,Medium,903,Community,70
INC00237,Master Canteen,20.270882,85.842236,Assault on Woman,5,Afternoon,Weekend,Moderate,High,374,Community,83
INC00238,Chandrasekharpur,20.333161,85.821065,Harassment,3,Evening,Weekday,Good,Medium,480,Community,56
INC00239,Pokhariput,20.253733,85.802123,Harassment,3,Night,Weekend,Moderate,Low,119,Community,68
INC00240,Pokhariput,20.25497,85.805108,Assault on Woman,5,Evening,Weekend,Poor,Medium,269,Community,100
INC00241,KIIT Square,20.353226,85.816009,Harassment,3,Evening,Weekday,Poor,Low,1225,Community,77
INC00242,Khandagiri,20.25944,85.781001,Sexual Harassment,5,Night,Weekday,Good,Low,1218,Community,91
INC00243,Rasulgarh,20.293296,85.870698,Harassment,3,Evening,Weekday,Poor,Medium,340,Police,71
INC00244,Mancheswar,20.324166,85.864662,Snatching,3,Evening,Weekend,Moderate,Low,523,Police,67
INC00245,Pokhariput,20.255233,85.802942,Harassment,3,Night,Weekday,Good,High,1153,Police,65
INC00246,Jaydev Vihar,20.302714,85.822513,Eve-teasing,2,Night,Weekday,Poor,High,371,Community,65
INC00247,Lingaraj,20.243465,85.832612,Stalking,4,Evening,Weekend,Moderate,Medium,290,Community,77
INC00248,Master Canteen,20.267964,85.838015,Eve-teasing,2,Night,Weekday,Poor,Low,1038,Community,65
INC00249,Pokhariput,20.257809,85.805949,Stalking,4,Evening,Weekend,Moderate,High,1220,Community,82
INC00250,Nayapalli,20.297574,85.802276,Suspicious Activity,2,Evening,Weekend,Poor,High,423,Community,53
INC00251,Saheed Nagar,20.299256,85.843493,Eve-teasing,2,Evening,Weekday,Poor,Low,291,Community,57
INC00252,Old Town,20.238893,85.831311,Snatching,3,Evening,Weekday,Poor,Low,979,Community,69
INC00253,Saheed Nagar,20.294596,85.839557,Stalking,4,Night,Weekday,Good,Medium,346,Police,76
INC00254,CRP Square,20.314298,85.823385,Harassment,3,Afternoon,Weekday,Moderate,Low,380,Community,52
INC00255,Infocity,20.341051,85.8169,Assault on Woman,5,Evening,Weekend,Poor,Medium,410,Police,100
INC00256,Saheed Nagar,20.294403,85.842715,Harassment,3,Evening,Weekend,Moderate,Low,744,Police,61
